cntr_01,dist_x,pang_x,ra_01,dec_01,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
61,6.663323,36.336552,1.44162500000E+02,4.84669400000E+01,144.1641541,48.4684310,0.2737,0.2821,-0.0641,14.726,0.119,9.1,1.1910E+00,14.882,0.295,3.7,6.5960E-01,1,0,0000,BB,10,58216.27112747,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.667046,37.876689,1.44162500000E+02,4.84669400000E+01,144.1642149,48.4684018,0.2547,0.2731,-0.1054,14.812,0.083,13.1,1.8310E+00,14.720,0.253,4.3,1.0150E+00,1,0,0000,AB,10,58789.17216852,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.675386,36.839347,1.44162500000E+02,4.84669400000E+01,144.1641768,48.4684240,0.2585,0.2937,0.0633,14.972,0.090,12.0,8.0410E-01,14.680,0.428,2.5,1.0950E+00,1,0,0000,AC,10,58579.62745785,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.680826,34.857583,1.44162500000E+02,4.84669400000E+01,144.1640997,48.4684628,0.2402,0.2667,-0.0812,14.757,0.077,14.1,2.1140E+00,15.021,0.351,3.1,5.3310E-01,1,0,0000,AB,10,56774.31938654,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.697777,36.024050,1.44162500000E+02,4.84669400000E+01,144.1641503,48.4684447,0.3007,0.3189,-0.1354,14.877,0.094,11.5,8.7520E-01,15.187,0.458,2.4,7.5390E-01,1,0,0000,AC,10,56965.11107138,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.702667,32.657745,1.44162500000E+02,4.84669400000E+01,144.1640153,48.4685075,0.2703,0.3115,-0.0890,14.934,0.092,11.8,1.1380E+00,14.685,0.251,4.3,3.4150E-01,1,0,0000,AB,10,57694.01691201,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.725996,30.166068,1.44162500000E+02,4.84669400000E+01,144.1639160,48.4685553,0.3284,0.3800,0.1487,15.010,0.113,9.6,1.4390E+00,14.503,0.283,3.8,6.3750E-01,1,0,0000,BB,10,57329.91175861,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.727284,34.792587,1.44162500000E+02,4.84669400000E+01,144.1641082,48.4684746,0.2213,0.2711,0.0542,14.821,0.080,13.6,2.1610E+00,15.077,0.354,3.1,5.6590E-01,1,0,0000,AB,10,57491.16253752,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.736685,37.835214,1.44162500000E+02,4.84669400000E+01,144.1642312,48.4684179,0.2581,0.3024,0.0414,14.894,0.090,12.1,1.0370E+00,14.799,0.382,2.8,2.9550E-01,1,0,0000,AC,10,56965.57139810,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.736718,32.095304,1.44162500000E+02,4.84669400000E+01,144.1639996,48.4685253,0.2776,0.3094,0.0281,15.016,0.098,11.1,8.8690E-01,14.854,null,1.3,7.6100E-01,1,0,0000,AU,10,58215.87803480,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
